facility,unit,component,json_file,filename,region,old_label,new_label
Atlantis,Images,clarifier,Atlantis Clarifiers.json,Atlantis 02_2025.jpg,0,Functional,Scum
Atlantis,Images,clarifier,Atlantis Clarifiers.json,Atlantis 04_2017.jpg,1,Scum,Functional
Atlantis,Images,clarifier,Atlantis Clarifiers.json,Atlantis 09_2020.jpg,1,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201404.jpg,1,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201404.jpg,2,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201408.jpg,0,Scum,Functional
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201408.jpg,1,Functional,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201408.jpg,2,Scum,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201409.jpg,0,Scum,Functional
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201409.jpg,2,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201410.jpg,0,Scum,Functional
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201410.jpg,2,Dysfunctional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201411.jpg,2,Dysfunctional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201501.jpg,3,Dysfunctional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201610.jpg,2,Empty,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201611.jpg,0,Scum,Functional
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201611.jpg,2,Empty,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201712.jpg,2,Functional,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201801.jpg,3,Functional,Dysfunctional
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201902.jpg,1,Dysfunctional,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201902.jpg,2,Dysfunctional,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201903.jpg,1,Functional,Dysfunctional
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201905.jpg,0,Empty,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201905.jpg,3,Scum,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201906.jpg,0,Empty,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201906.jpg,3,Scum,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201907.jpg,0,Empty,Scum
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_201907.jpg,3,Scum,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202003.jpg,0,Scum,Functional
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202005.jpg,0,Scum,Functional
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202102.jpg,2,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202103.jpg,2,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202108.jpg,2,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202206.jpg,0,Dysfunctional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202206.jpg,2,Scum,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202206.jpg,3,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202208.jpg,0,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202209.jpg,0,Functional,Empty
CapeFlats,Images/CF1,clarifier,Cape Flats 1 Clarifiers.json,capeflats1_202209.jpg,3,Functional,Empty
