Using device: cuda
Test set ID (derived from DATASET_ROOT): NoordelikeWerke
Classes found (4): ['Dysfunctional', 'Empty', 'Functional', 'Scum']
Train: 1692 | Val: 410 | Test: 405
[09:36:18] Dataset root: ../cnn_dataset_split_facility_test-NoordelikeWerke  Component: clarifier
[09:36:18] Architectures to tune (6): ['resnet18', 'efficientnet_b0', 'densenet121', 'resnet50', 'convnext_tiny', 'inception_v3']
[09:36:18] Trials per architecture: 20
[09:36:18] === Starting tuning for resnet18: 20 trials, img_size=(224, 224) ===
[I 2026-09-22 09:36:18,730] A new study created in memory with name: resnet18_tune
[09:36:18] [resnet18] trial 0: H=1 N=512 lr=2.92e-03 beta1=0.800 step_size=30 batch_size=16 (micro_batch=16, accum_steps=1)
Using device: cuda
Test set ID (derived from DATASET_ROOT): NoordelikeWerke
Classes found (4): ['Dysfunctional', 'Empty', 'Functional', 'Scum']
Train: 1692 | Val: 410 | Test: 405
[resnet18 trial0] Epoch   1/100 | LR: 2.92e-03 | train loss 1.3885 acc 0.350 | val loss 1.2118 acc 0.441 *
[resnet18 trial0] Epoch   2/100 | LR: 2.92e-03 | train loss 1.2675 acc 0.364 | val loss 2.0783 acc 0.156
[resnet18 trial0] Epoch   3/100 | LR: 2.92e-03 | train loss 1.2126 acc 0.423 | val loss 1.1960 acc 0.432 *
[resnet18 trial0] Epoch   4/100 | LR: 2.92e-03 | train loss 1.2020 acc 0.437 | val loss 1.3745 acc 0.407
[resnet18 trial0] Epoch   5/100 | LR: 2.92e-03 | train loss 1.2380 acc 0.417 | val loss 1.1901 acc 0.454 *
[resnet18 trial0] Epoch   6/100 | LR: 2.92e-03 | train loss 1.2487 acc 0.410 | val loss 1.1109 acc 0.490 *
[resnet18 trial0] Epoch   7/100 | LR: 2.92e-03 | train loss 1.1980 acc 0.418 | val loss 1.1944 acc 0.398
[resnet18 trial0] Epoch   8/100 | LR: 2.92e-03 | train loss 1.2137 acc 0.427 | val loss 1.1274 acc 0.529
[resnet18 trial0] Epoch   9/100 | LR: 2.92e-03 | train loss 1.2048 acc 0.436 | val loss 1.2284 acc 0.363
[resnet18 trial0] Epoch  10/100 | LR: 2.92e-03 | train loss 1.1580 acc 0.428 | val loss 1.0180 acc 0.517 *
[resnet18 trial0] Epoch  11/100 | LR: 2.92e-03 | train loss 1.1039 acc 0.482 | val loss 1.1274 acc 0.437
[resnet18 trial0] Epoch  12/100 | LR: 2.92e-03 | train loss 1.1707 acc 0.400 | val loss 1.0708 acc 0.444
[resnet18 trial0] Epoch  13/100 | LR: 2.92e-03 | train loss 1.1540 acc 0.462 | val loss 0.9754 acc 0.551 *
[resnet18 trial0] Epoch  14/100 | LR: 2.92e-03 | train loss 1.1371 acc 0.425 | val loss 1.0859 acc 0.420
[resnet18 trial0] Epoch  15/100 | LR: 2.92e-03 | train loss 1.1162 acc 0.440 | val loss 1.3521 acc 0.444
[resnet18 trial0] Epoch  16/100 | LR: 2.92e-03 | train loss 1.1501 acc 0.450 | val loss 1.9495 acc 0.420
[resnet18 trial0] Epoch  17/100 | LR: 2.92e-03 | train loss 1.1341 acc 0.457 | val loss 1.0718 acc 0.485
[resnet18 trial0] Epoch  18/100 | LR: 2.92e-03 | train loss 1.0567 acc 0.491 | val loss 0.9769 acc 0.534
[resnet18 trial0] Epoch  19/100 | LR: 2.92e-03 | train loss 1.0927 acc 0.481 | val loss 1.2600 acc 0.315
[resnet18 trial0] Epoch  20/100 | LR: 2.92e-03 | train loss 1.0643 acc 0.483 | val loss 0.9340 acc 0.559 *
[resnet18 trial0] Epoch  21/100 | LR: 2.92e-03 | train loss 1.0867 acc 0.474 | val loss 1.3592 acc 0.337
[resnet18 trial0] Epoch  22/100 | LR: 2.92e-03 | train loss 1.0820 acc 0.493 | val loss 0.9143 acc 0.544 *
[resnet18 trial0] Epoch  23/100 | LR: 2.92e-03 | train loss 1.0609 acc 0.497 | val loss 0.9600 acc 0.539
[resnet18 trial0] Epoch  24/100 | LR: 2.92e-03 | train loss 1.0240 acc 0.514 | val loss 1.3213 acc 0.315
[resnet18 trial0] Epoch  25/100 | LR: 2.92e-03 | train loss 1.0687 acc 0.486 | val loss 1.2008 acc 0.420
[resnet18 trial0] Epoch  26/100 | LR: 2.92e-03 | train loss 1.0540 acc 0.494 | val loss 1.2089 acc 0.517
[resnet18 trial0] Epoch  27/100 | LR: 2.92e-03 | train loss 1.0759 acc 0.510 | val loss 0.9375 acc 0.561
[resnet18 trial0] Epoch  28/100 | LR: 2.92e-03 | train loss 1.0292 acc 0.506 | val loss 0.9087 acc 0.605 *
[resnet18 trial0] Epoch  29/100 | LR: 2.92e-03 | train loss 1.0256 acc 0.508 | val loss 0.9005 acc 0.573 *
[resnet18 trial0] Epoch  30/100 | LR: 2.92e-04 | train loss 1.0066 acc 0.532 | val loss 0.8780 acc 0.580 *
[resnet18 trial0] Epoch  31/100 | LR: 2.92e-04 | train loss 1.0193 acc 0.519 | val loss 0.8506 acc 0.585 *
[resnet18 trial0] Epoch  32/100 | LR: 2.92e-04 | train loss 0.9313 acc 0.554 | val loss 0.7848 acc 0.654 *
[resnet18 trial0] Epoch  33/100 | LR: 2.92e-04 | train loss 0.9242 acc 0.560 | val loss 0.7707 acc 0.632 *
[resnet18 trial0] Epoch  34/100 | LR: 2.92e-04 | train loss 0.9319 acc 0.559 | val loss 0.7733 acc 0.644
[resnet18 trial0] Epoch  35/100 | LR: 2.92e-04 | train loss 0.9258 acc 0.572 | val loss 0.7991 acc 0.617
[resnet18 trial0] Epoch  36/100 | LR: 2.92e-04 | train loss 0.8851 acc 0.577 | val loss 0.7635 acc 0.620 *
[resnet18 trial0] Epoch  37/100 | LR: 2.92e-04 | train loss 0.8875 acc 0.586 | val loss 0.7628 acc 0.659 *
[resnet18 trial0] Epoch  38/100 | LR: 2.92e-04 | train loss 0.8809 acc 0.587 | val loss 0.7175 acc 0.685 *
[resnet18 trial0] Epoch  39/100 | LR: 2.92e-04 | train loss 0.8801 acc 0.588 | val loss 0.7166 acc 0.683 *
[resnet18 trial0] Epoch  40/100 | LR: 2.92e-04 | train loss 0.8701 acc 0.606 | val loss 0.7560 acc 0.659
[resnet18 trial0] Epoch  41/100 | LR: 2.92e-04 | train loss 0.8351 acc 0.604 | val loss 0.7816 acc 0.632
[resnet18 trial0] Epoch  42/100 | LR: 2.92e-04 | train loss 0.8623 acc 0.603 | val loss 0.7080 acc 0.661 *
[resnet18 trial0] Epoch  43/100 | LR: 2.92e-04 | train loss 0.8452 acc 0.607 | val loss 0.7133 acc 0.671
[resnet18 trial0] Epoch  44/100 | LR: 2.92e-04 | train loss 0.8088 acc 0.616 | val loss 0.7648 acc 0.641
[resnet18 trial0] Epoch  45/100 | LR: 2.92e-04 | train loss 0.7943 acc 0.635 | val loss 0.6713 acc 0.683 *
[resnet18 trial0] Epoch  46/100 | LR: 2.92e-04 | train loss 0.7940 acc 0.628 | val loss 0.6759 acc 0.700
[resnet18 trial0] Epoch  47/100 | LR: 2.92e-04 | train loss 0.7756 acc 0.625 | val loss 0.7088 acc 0.688
[resnet18 trial0] Epoch  48/100 | LR: 2.92e-04 | train loss 0.7568 acc 0.645 | val loss 0.7095 acc 0.656
[resnet18 trial0] Epoch  49/100 | LR: 2.92e-04 | train loss 0.7284 acc 0.647 | val loss 0.6771 acc 0.676
[resnet18 trial0] Epoch  50/100 | LR: 2.92e-04 | train loss 0.7572 acc 0.646 | val loss 0.7139 acc 0.676
[resnet18 trial0] Epoch  51/100 | LR: 2.92e-04 | train loss 0.7413 acc 0.657 | val loss 0.6205 acc 0.734 *
[resnet18 trial0] Epoch  52/100 | LR: 2.92e-04 | train loss 0.7546 acc 0.663 | val loss 0.6388 acc 0.720
[resnet18 trial0] Epoch  53/100 | LR: 2.92e-04 | train loss 0.6769 acc 0.689 | val loss 0.6266 acc 0.720
[resnet18 trial0] Epoch  54/100 | LR: 2.92e-04 | train loss 0.6926 acc 0.659 | val loss 0.6578 acc 0.700
[resnet18 trial0] Epoch  55/100 | LR: 2.92e-04 | train loss 0.6900 acc 0.692 | val loss 0.6107 acc 0.751 *
[resnet18 trial0] Epoch  56/100 | LR: 2.92e-04 | train loss 0.6664 acc 0.699 | val loss 0.5841 acc 0.756 *
[resnet18 trial0] Epoch  57/100 | LR: 2.92e-04 | train loss 0.6441 acc 0.702 | val loss 0.5829 acc 0.756 *
[resnet18 trial0] Epoch  58/100 | LR: 2.92e-04 | train loss 0.6283 acc 0.710 | val loss 0.5454 acc 0.773 *
[resnet18 trial0] Epoch  59/100 | LR: 2.92e-04 | train loss 0.6730 acc 0.702 | val loss 0.5813 acc 0.751
[resnet18 trial0] Epoch  60/100 | LR: 2.92e-05 | train loss 0.6091 acc 0.733 | val loss 0.5704 acc 0.768
[resnet18 trial0] Epoch  61/100 | LR: 2.92e-05 | train loss 0.5582 acc 0.734 | val loss 0.5491 acc 0.778
[resnet18 trial0] Epoch  62/100 | LR: 2.92e-05 | train loss 0.5290 acc 0.762 | val loss 0.5500 acc 0.773
