run                                       acc  D_rec D_pred  D_fp
alexnet_Atlantis                        0.567    nan      2     2
alexnet_CapeFlats                       0.508   0.00      0     0
alexnet_Fisantekraal                    0.448   0.11      5     3
alexnet_NoordelikeWerke                 0.412   0.00      0     0
alexnet_Waterval                        0.542   0.71     13     8
convnext_tiny_Atlantis                  0.867    nan      2     2
convnext_tiny_CapeFlats                 0.753   0.85    161    69
convnext_tiny_Fisantekraal              0.829   0.61     12     1
convnext_tiny_NoordelikeWerke           0.859   0.84    126     9
convnext_tiny_Waterval                  0.901   0.86      6     0
densenet121_Atlantis                    0.867    nan      0     0
densenet121_CapeFlats                   0.700   0.69    128    54
densenet121_Fisantekraal                0.817   0.78     22     8
densenet121_NoordelikeWerke             0.835   0.88    141    18
densenet121_Waterval                    0.852   0.71     12     7
efficientnet_b0_Atlantis                0.911    nan      0     0
efficientnet_b0_CapeFlats               0.602   0.66    115    44
efficientnet_b0_Fisantekraal            0.790   0.50      9     0
efficientnet_b0_NoordelikeWerke         0.844   0.90    140    14
efficientnet_b0_Waterval                0.884   0.86      7     1
inception_v3_Atlantis                   0.867    nan      0     0
inception_v3_CapeFlats                  0.619   0.56    106    45
inception_v3_Fisantekraal               0.786   0.83     23     8
inception_v3_NoordelikeWerke            0.852   0.86    129     9
inception_v3_Waterval                   0.764   0.57      4     0
resnet18_Atlantis                       0.811    nan      0     0
resnet18_CapeFlats                      0.591   0.75    124    43
resnet18_Fisantekraal                   0.774   0.72     20     7
resnet18_NoordelikeWerke                0.825   0.83    128    12
resnet18_Waterval                       0.908   0.86      7     1
resnet50_Atlantis                       0.844    nan      0     0
resnet50_CapeFlats                      0.655   0.71    137    60
resnet50_Fisantekraal                   0.794   0.61     17     6
resnet50_NoordelikeWerke                0.830   0.86    128     7
resnet50_Waterval                       0.884   0.71      5     0
