run                                       acc  D_rec D_pred  D_fp
alexnet_Atlantis                        0.433    nan      2     2
alexnet_CapeFlats                       0.355   0.24     39    13
alexnet_Fisantekraal                    0.452   0.00      0     0
alexnet_NoordelikeWerke                 0.198   0.00      0     0
alexnet_Waterval                        0.338   0.71      5     0
convnext_tiny_Atlantis                  0.867    nan      2     2
convnext_tiny_CapeFlats                 0.724   0.86    167    74
convnext_tiny_Fisantekraal              0.798   0.61     12     1
convnext_tiny_NoordelikeWerke           0.877   0.86    131    11
convnext_tiny_Waterval                  0.880   0.86      6     0
densenet121_Atlantis                    0.800    nan      2     2
densenet121_CapeFlats                   0.591   0.63    121    53
densenet121_Fisantekraal                0.833   0.72     17     4
densenet121_NoordelikeWerke             0.817   0.84    128    11
densenet121_Waterval                    0.873   0.86      7     1
efficientnet_b0_Atlantis                0.833    nan      0     0
efficientnet_b0_CapeFlats               0.612   0.72    117    39
efficientnet_b0_Fisantekraal            0.778   0.50      9     0
efficientnet_b0_NoordelikeWerke         0.840   0.87    133    11
efficientnet_b0_Waterval                0.894   0.57      4     0
inception_v3_Atlantis                   0.833    nan      2     2
inception_v3_CapeFlats                  0.585   0.68    124    51
inception_v3_Fisantekraal               0.786   0.72     20     7
inception_v3_NoordelikeWerke            0.827   0.85    131    12
inception_v3_Waterval                   0.852   1.00      7     0
resnet18_Atlantis                       0.822    nan      2     2
resnet18_CapeFlats                      0.569   0.73    164    85
resnet18_Fisantekraal                   0.734   0.67     14     2
resnet18_NoordelikeWerke                0.795   0.84    130    13
resnet18_Waterval                       0.849   1.00     12     5
resnet50_Atlantis                       0.811    nan      1     1
resnet50_CapeFlats                      0.609   0.44     73    25
resnet50_Fisantekraal                   0.746   0.50     12     3
resnet50_NoordelikeWerke                0.844   0.88    134    11
resnet50_Waterval                       0.873   1.00      7     0
